,Row.names,Normal1,Normal2,Normal3,NPC1,NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,NPC8,NPC9,NPC10,NPC11,NPC12,NPC13,NPC14,NPC15,NPC16,NPC17,NPC18,NPC19,NPC20,NPC21,NPC22,NPC23,NPC24,NPC25,array_ID,Gene_symbol,gene_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol,mouse_symbol
1,A1CF,42.668,145.768,57.8067,61.7481,66.626,64.2189,52.9338,63.5299,54.4841,49.6683,56.6302,62.9527,61.9497,72.1754,56.1758,61.8681,90.8756,66.0491,111.601,92.4571,57.7655,62.0013,64.2154,76.8641,88.2717,109.738,115.583,96.8344,220951_s_at,A1CF,29974,-9.392212,73.69499643,-0.639215355,0.528093163,0.915661757,-4.654195375,A1CF,A1cf
2,A2M,698.843,827.662,322.323,289.025,772.059,204.008,560.409,556.365,266.579,218.498,772.667,869.226,490.16,157.124,540.298,1372.16,349.602,180.856,296.332,429.688,938.121,419.851,558.762,313.14,411.428,659.284,116.788,157.756,217757_at,A2M,2,-140.26856,491.0362143,-0.79069041,0.436045895,0.891610951,-4.635357122,A2M,A2m
3,A4GALT,26.077,28.3863,19.97,16.3626,28.3046,40.2686,17.4832,52.0817,37.1456,15.2201,40.7453,30.3878,24.4104,47.9569,29.9398,22.5215,30.416,22.9642,28.1494,28.3229,32.9928,19.8022,35.4119,21.5567,34.6627,23.7203,12.7485,9.4784,219488_at,A4GALT,53947,3.311064,27.76740714,0.520661607,0.606865329,0.932139651,-4.666297591,A4GALT,A4galt
4,A4GNT,27.9557,73.7145,13.25,46.3565,139.078,32.0444,47.2172,54.7952,48.3082,43.589,30.9906,22.0533,103.261,36.1683,20.5875,14.8191,39.2414,38.6525,51.6039,52.8658,26.1035,40.0235,30.9784,16.7086,49.1207,11.8632,26.7607,22.4745,221131_at,A4GNT,51146,3.519866667,41.44947143,0.209802733,0.835403762,0.973489998,-4.686529539,A4GNT,A4gnt
5,AAAS,65.3823,69.1155,47.744,44.3177,94.2096,71.0911,65.8097,48.8897,33.363,64.9425,82.0095,62.6935,37.2502,67.7001,92.2582,62.2235,50.8516,65.094,58.3948,8.52745,13.4317,46.9789,54.6645,32.8547,74.2277,44.4042,33.2545,71.6504,218075_at,AAAS,8086,-5.503556667,55.83337679,-0.433948466,0.667789146,0.94161698,-4.67363708,AAAS,Aaas
6,AACS,115.135,273.581,101.018,144.24,103.015,126.02,97.5795,243.696,68.9712,202.008,119.348,127.969,124.96,301.494,235.107,256.912,153.817,162.226,224.144,58.4389,158.897,203.021,106.59,75.3473,115.139,87.0321,101.178,52.372,218434_s_at,AACS,65985,-17.26378667,147.8305714,-0.411192445,0.68419148,0.94525505,-4.675348176,AACS,Aacs
7,AADAC,27.2442,56.0597,5.45483,5.66925,21.3268,23.4432,4.53353,6.43516,3.64307,17.2516,11.7815,48.2857,6.49575,71.9314,8.68709,7.97763,63.1534,6.32839,4.75595,10.1546,64.4615,23.0284,130.75,10.9097,20.8703,7.62116,39.5539,23.0024,205969_at,AADAC,13,-3.904188133,26.10036107,-0.219127468,0.828206187,0.972613272,-4.686170475,AADAC,Aadac
8,AAGAB,69.2681,34.4015,172.077,76.3298,115.825,94.9151,69.3335,84.6939,51.8211,94.6679,81.4738,114.043,87.5277,103.283,67.3189,100.629,97.6176,97.889,90.5822,103.658,116.459,111.226,59.1854,67.4641,101.751,104.196,131.629,81.1118,202852_s_at,AAGAB,79719,0.269698667,92.15633571,0.016326595,0.987094426,0.997771239,-4.690463563,AAGAB,Aagab
9,AAK1,206.714,80.6752,531.288,165.692,137.549,136.262,189.664,180.403,227.269,106.096,242.407,159.232,91.5462,125.512,203.982,321.627,244.554,137.969,136.076,210.486,207.754,181.282,161.449,251.133,163.022,134.44,125.137,136.229,205434_s_at,AAK1,22848,-97.821512,185.5517643,-1.970765378,0.059129492,0.572080022,-4.381481696,AAK1,Aak1
10,AAMDC,37.2766,139.606,39.4201,39.0638,52.1241,49.641,48.5238,57.8567,49.7962,50.244,48.5639,50.8331,39.6361,55.3402,58.4655,49.0819,71.0229,101.406,67.4402,86.5249,56.7497,55.7038,41.1809,61.2538,124.497,47.4655,70.0265,44.0133,221600_s_at,AAMDC,28971,-13.042708,60.455625,-0.865146449,0.394614424,0.878946465,-4.624755012,AAMDC,Aamdc
