ensembl,Pri_1,Pri_2,Pri_3,Met_1,Met_2,Met_3,Pri_1.1,Pri_2.1,Pri_3.1,Met_1.1,Met_2.1,Met_3.1,Met_v_Pri_baseMean,Met_v_Pri_log2FoldChange,Met_v_Pri_lfcSE,Met_v_Pri_stat,Met_v_Pri_pvalue,Met_v_Pri_padj,symbol,entrez,GENENAME,mouse_symbol
ENSG00000162688,2,2,10,671,0,134,0.003192566,0.002624999,0.014765618,1.441124287,0,0.163182909,61.41234235,2.291872397,2.646509474,0.865998183,0.386491158,0.528569783,AGL,178,amylo-alpha-1, 4-alpha-glucanotransferase
ENSG00000206503,1602,3420,93,1506,2759,2379,8.145988843,14.29870201,0.437427397,10.30327523,10.48647498,9.228597963,2864.017974,-3.036913997,2.083812394,-1.457383594,0.145010523,0.271632682,HLA-A,3105,major histocompatibility complex, A
ENSG00000066117,0,141,1,55,388,18,0,0.281775208,0.002248206,0.179856516,0.704892204,0.033375436,41.28307598,-0.297371615,2.486937067,-0.119573438,0.904821062,0.941138421,SMARCD1,6602,SWI/SNF related,Smarcd1
ENSG00000073584,0,193,1,166,352,361,0,0.269609723,0.001571559,0.379460128,0.447021302,0.467903418,71.24641179,0.387233988,2.421614791,0.159907343,NA,NA,SMARCE1,6605,SWI/SNF related,Smarce1
ENSG00000080503,721,658,0,139,1,0,0.399191618,0.299544433,0,0.103545202,0.00041385,0,989.4803054,-6.719701163,3.044916895,-2.206858642,0.027323937,0.136689818,SMARCA2,6595,SWI/SNF related,Smarca2
ENSG00000082014,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SMARCD3,6604,SWI/SNF related,Smarcd3
ENSG00000099956,1,1,1271,338,444,286,0.006799079,0.005590354,7.993507136,3.091973864,2.256470078,1.483460894,1037.061099,-4.244675482,2.57866829,-1.646072703,NA,NA,SMARCB1,6598,SWI/SNF related,Smarcb1
ENSG00000102038,0,0,0,21,343,0,0,0,0,0.08128745,0.737608339,0,13.93651904,5.46736347,3.317476608,1.648048839,0.09934265,NA,SMARCA1,6594,SWI/SNF related,Smarca1
ENSG00000108604,1,564,91,1,0,260,0.003240837,1.502884037,0.272797435,0.004360399,0,0.642821643,171.0342284,-3.721207302,2.727212039,-1.36447304,0.172418734,0.302132518,SMARCD2,6603,SWI/SNF related,Smarcd2
ENSG00000127616,1,139,0,137,1161,500,0.001436795,0.164209736,0,0.264840556,1.246877068,0.548055932,97.37790079,1.692710478,2.419720438,0.699547952,0.484209656,0.617215959,SMARCA4,6597,SWI/SNF related,Smarca4
